 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
167  |    dog     |  42506t - 935t    |     19_65 - 19_74     |   L1_Cf(h) - L1_Cf(h)   |  6317   | False  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
168  |    dog     |  23394h - 16099t  |     10_61 - 10_62     |   L1_Cf(t) - L1_Cf(h)   |  6417   |  True  | L1_Cftou, L1_Cfhoi | dog 
169  |    dog     |  16384t - 42810t  |    -25_32 - -13_46    |   L1_Cf(t) - L1_Cf(h)   |  6462   | False  | L1_Cftou, L1_Cfhoi | dog 
170  |    dog     |  10294h - 23346t  |    -4_130 - -4_128    |   L1_Cf(t) - L1_Cf(t)   |  6485   |  True  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
171  |    dog     |   8259t - 14431h  |       5_9 - 5_10      |   L1_Cf(h) - L1_Cf(t)   |  6578   |  True  | L1_Cfhou, L1_Cftoi | dog 
172  |    dog     |  31299h - 23959t  |    -22_88 - -22_87    |   L1_Cf(t) - L1_Cf(h)   |  6607   |  True  | L1_Cftou, L1_Cfhoi | dog 
173  |    dog     |  18454h - 5558t   |    -19_65 - -19_64    | L1_Canis1(h) - L1_Canis1(t) |  6653   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
174  |    dog     |  23712h - 5373h   |     -7_35 - -7_31     |   L1_Cf(h) - L1_Canis1(t) |  6670   |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1hou, L1_Canis1toi | dog 
175  |    dog     |   4874t - 17177t  |     -15_6 - -15_5     |   L1_Cf(h) - L1_Cf(t)   |  6746   |  True  | L1_Cfhou, L1_Cftoi | dog 
176  |    dog     |   9797t - 25694t  |     -6_80 - 15_7      |   L1_Cf(t) - L1_Canis1(t) |  6781   |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1hou, L1_Canis1toi | dog 
177  |    dog     |  22612t - 11165h  |     -9_46 - -9_44     |   L1_Cf(h) - L1_Cf(h)   |  6879   |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
178  |    dog     |  19130t - 10474t  |      8_75 - 8_76      |   L1_Cf(t) - L1_Cf(h)   |  6923   |  True  | L1_Cftou, L1_Cfhoi | dog 
179  |    dog     |  11713t - 7600h   |      38_1 - 38_2      | L1_Canis1(h) - L1_Canis1(t) |  7014   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
180  |    dog     |   3417t - 17039t  |    -23_32 - -23_28    |   L1_Cf(t) - L1_Canis1(h) |  7028   |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1tou, L1_Canis1hoi | dog 
181  |    dog     |  23464t - 42690t  |    -16_35 - -16_31    | L1_Canis1(h) - L1_Canis1(t) |  7105   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
182  |    dog     |  17157h - 12227h  |     -4_33 - -4_29     |   L1_Cf(t) - L1_Canis1(h) |  7131   |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1tou, L1_Canis1hoi | dog 
183  |    dog     |   4330t - 19983t  |      6_68 - 6_69      | L1_Canis1(t) - L1_Canis1(h) |  7225   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
184  |    dog     |  14609t - 3966t   |      1_88 - 1_90      |   L1_Cf(h) - L1_Canis1(h) |  7238   |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1tou, L1_Canis1hoi | dog 
185  |    dog     |  17555t - 5874h   |      2_64 - 2_65      |   L1_Cf(t) - L1_Cf(h)   |  7294   |  True  | L1_Cftou, L1_Cfhoi | dog 
186  |    dog     |  14534t - 50173h  |    -15_49 - -15_48    | L1_Canis1(h) - L1_Canis1(t) |  7748   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
187  |    dog     |  14467t - 43406t  |    -23_11 - -23_11    | L1_Canis1(h) - L1_Canis1(h) |  7817   | False  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
188  |    dog     |  22368h - 14884h  |    -X_132 - -X_130    | L1_Canis1(t) - L1_Cf(h)   |  7898   |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
189  |    dog     |  23110h - 16497t  |     7_112 - 7_113     | L1_Canis1(t) - L1_Canis1(h) |  7981   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
190  |    dog     |   5765h - 22455t  |      6_21 - 6_22      | L1_Canis1(h) - L1_Canis1(t) |  8221   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
191  |    dog     |  15903h - 11767t  |     -7_74 - -7_71     |   L1_Cf(h) - L1_Canis1(t) |  8393   |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1hou, L1_Canis1toi | dog 
192  |    dog     |  29650t - 4161h   |     12_14 - 12_15     | L1_Canis1(h) - L1_Canis1(t) |  8475   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
193  |    dog     |   9115h - 45321t  |      1_43 - 1_47      | L1_Canis1(h) - L1_Cf(t)   |  8534   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | dog 
194  |    dog     |    783t - 31144h  |    -30_29 - -30_27    | L1_Canis1(h) - L1_Canis1(h) |  8569   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
