 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
286  | chimpanzee |  18556t - 6077h   |     5_390 - 5_394     |    L1P1(h) - L1PA3(t)   |  5932   |  True  | L1P1hou, L1P1toi, L1PA3hou, L1PA3toi | chimpanzee 
287  | chimpanzee |  38392h - 20910h  |     -21_5 - 3_348     |   L1PA4(h) - L1PA3(t)   |  5938   |  True  | L1PA4hou, L1PA4toi, L1PA3hou, L1PA3toi | chimpanzee 
288  | chimpanzee |  20960t - 10277t  |    -6_145 - -6_144    |   L1PA3(h) - L1PA3(t)   |  5942   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
289  | chimpanzee |  19750h - 4532h   |    16_147 - 16_143    |   L1PA2(h) - L1PA2(h)   |  6012   |  True  | L1PA2hou, L1PA2toi, L1PA2tou, L1PA2hoi | chimpanzee 
290  | chimpanzee |  16017h - 17428t  |   -10_257 - -10_256   |   L1PA6(h) - L1PA6(t)   |  6088   |  True  | L1PA6hou, L1PA6toi | chimpanzee 
291  | chimpanzee |  27939h - 31957h  |    2A_320 - 2A_321    |   L1PA4(t) - L1PA4(h)   |  6093   |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
292  | chimpanzee |  17771t - 8521t   |     3_191 - 3_192     |   L1PA4(h) - L1PA4(t)   |  6139   |  True  | L1PA4hou, L1PA4toi | chimpanzee 
293  | chimpanzee |  12054t - 10294t  |    -5_387 - -5_385    |    L1P1(h) - L1PA4(h)   |  6201   |  True  | L1P1hou, L1P1toi, L1PA4tou, L1PA4hoi | chimpanzee 
294  | chimpanzee |  48173h - 13009t  |    2A_124 - 2A_135    |    L1Pt(h) - L1PA3(h)   |  6215   |  True  | L1Pthou, L1Pttoi, L1PA3tou, L1PA3hoi | chimpanzee 
295  | chimpanzee |  23829t - 6225t   |    11_123 - 11_128    |   L1PA5(t) - L1P1(t)    |  6235   |  True  | L1PA5tou, L1PA5hoi, L1P1hou, L1P1toi | chimpanzee 
296  | chimpanzee |   9514h - 6915h   |     19_42 - 19_43     |   L1PA4(t) - L1PA4(h)   |  6294   |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
297  | chimpanzee |   1756h - 18642h  |     3_647 - 3_649     |   L1PA2(t) - L1PA3(h)   |  6295   |  True  | L1PA2tou, L1PA2hoi, L1PA3tou, L1PA3hoi | chimpanzee 
298  | chimpanzee |  20228t - 26189t  |    2B_366 - 2B_367    |    L1Pt(t) - L1Pt(h)    |  6342   |  True  | L1Pttou, L1Pthoi | chimpanzee 
299  | chimpanzee |  22181t - 37058h  |   -11_320 - -11_315   |    L1P1(t) - L1PA2(t)   |  6406   |  True  | L1P1tou, L1P1hoi, L1PA2hou, L1PA2toi | chimpanzee 
300  | chimpanzee |  13045h - 30565h  |    -8_389 - -8_387    |   L1PA3(h) - L1PA4(h)   |  6408   |  True  | L1PA3hou, L1PA3toi, L1PA4tou, L1PA4hoi | chimpanzee 
301  | chimpanzee |   7140h - 2715h   |     5_628 - 5_637     |   L1PA3(h) - L1PA4(t)   |  6498   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
302  | chimpanzee |  18805t - 11779t  |     6_479 - 6_480     |   L1PA5(t) - L1PA5(h)   |  6572   |  True  | L1PA5tou, L1PA5hoi | chimpanzee 
303  | chimpanzee |   1737t - 3111t   |     7_426 - 7_429     |    L1Pt(h) - L1PA3(h)   |  6579   |  True  | L1Pthou, L1Pttoi, L1PA3tou, L1PA3hoi | chimpanzee 
304  | chimpanzee |  17000t - 19935h  |   -2A_366 - -2A_365   |   L1PA5(h) - L1PA5(t)   |  6624   |  True  | L1PA5hou, L1PA5toi | chimpanzee 
305  | chimpanzee |   5824t - 29134t  |     7_115 - 7_117     |   L1PA4(h) - L1PA5(t)   |  6660   |  True  | L1PA4hou, L1PA4toi, L1PA5hou, L1PA5toi | chimpanzee 
306  | chimpanzee |  22662t - 4696t   |     -3_53 - -3_52     |   L1PA3(h) - L1PA3(t)   |  6708   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
