 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
200  |    dog     |  16099t - 23394h  |    -10_62 - -10_61    |   L1_Cf(h) - L1_Cf(t)   |  7341   |  True  | L1_Cfhou, L1_Cftoi | dog 
201  |    dog     |   6320h - 14374t  |     -4_55 - -4_52     |   L1_Cf(h) - L1_Canis1(t) |  7360   |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1hou, L1_Canis1toi | dog 
202  |    dog     |   9877h - 10235h  |    -27_66 - -27_57    |   L1_Cf(h) - L1_Canis1(h) |  7403   |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1tou, L1_Canis1hoi | dog 
203  |    dog     |   7547h - 8632h   |    -24_22 - -24_21    | L1_Canis1(t) - L1_Canis1(h) |  7495   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
204  |    dog     |  12178t - 37385t  |     8_109 - 8_110     |   L1_Cf(h) - L1_Cf(t)   |  7610   |  True  | L1_Cfhou, L1_Cftoi | dog 
205  |    dog     |  14523t - 1052t   |     10_37 - 22_84     |   L1_Cf(h) - L1_Cf(t)   |  7918   | False  | L1_Cfhou, L1_Cftoi | dog 
206  |    dog     |  16565t - 12633h  |    -1_108 - -1_107    | L1_Canis1(t) - L1_Canis1(h) |  7925   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
207  |    dog     |  10912t - 23606h  |     17_11 - 17_14     | L1_Canis1(h) - L1_Canis1(h) |  8010   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
208  |    dog     |  24859h - 3532t   |     22_43 - 22_44     |   L1_Cf(h) - L1_Cf(t)   |  8111   |  True  | L1_Cfhou, L1_Cftoi | dog 
209  |    dog     |   2638h - 10082h  |     15_41 - 15_42     |   L1_Cf(t) - L1_Cf(h)   |  8182   |  True  | L1_Cftou, L1_Cfhoi | dog 
210  |    dog     |  43406t - 14467t  |     23_11 - 23_11     | L1_Canis1(h) - L1_Canis1(h) |  8187   | False  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
211  |    dog     |   7201t - 15878h  |    -17_18 - -17_17    | L1_Canis1(h) - L1_Canis1(t) |  8252   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
212  |    dog     |  11050h - 19536h  |      2_50 - 2_52      |   L1_Cf(t) - L1_Cf(h)   |  8265   |  True  | L1_Cftou, L1_Cfhoi | dog 
213  |    dog     |   1875t - 28088t  |    -X_113 - -X_111    |   L1_Cf(h) - L1_Cf(h)   |  8365   |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
214  |    dog     |  16065t - 644h    |     12_65 - 12_73     |   L1_Cf(t) - L1_Canis1(t) |  8400   |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1hou, L1_Canis1toi | dog 
215  |    dog     |   4516t - 17435t  |      34_8 - 34_14     | L1_Canis1(h) - L1_Cf(t)   |  8557   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | dog 
216  |    dog     |  37663t - 17377h  |      12_8 - 12_14     |   L1_Cf(t) - L1_Canis1(h) |  8608   |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1tou, L1_Canis1hoi | dog 
217  |    dog     |  17746h - 7732t   |     -4_27 - -4_25     | L1_Canis1(t) - L1_Canis1(h) |  8662   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
218  |    dog     |  17039t - 3417t   |     23_28 - 23_32     | L1_Canis1(h) - L1_Cf(t)   |  8704   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | dog 
219  |    dog     |  13012h - 14620t  |    -29_69 - -29_66    | L1_Canis1(h) - L1_Canis1(t) |  8770   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
220  |    dog     |  31800t - 16551t  |    -25_27 - -25_26    | L1_Canis1(t) - L1_Canis1(h) |  8796   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
221  |    dog     |  12064t - 5958h   |     21_45 - 21_46     | L1_Canis1(t) - L1_Canis1(h) |  8831   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
222  |    dog     |  17595t - 12893t  |     11_19 - 11_20     | L1_Canis1(t) - L1_Canis1(h) |  8858   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
223  |    dog     |  21438h - 1306h   |    -28_15 - -28_14    | L1_Canis1(h) - L1_Canis1(t) |  9076   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
224  |    dog     |  24016h - 17989t  |     -12_8 - -12_7     |   L1_Cf(t) - L1_Cf(h)   |  9116   |  True  | L1_Cftou, L1_Cfhoi | dog 
225  |    dog     |  22455t - 5765h   |     -6_22 - -6_21     | L1_Canis1(t) - L1_Canis1(h) |  9561   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
226  |    dog     |  27205h - 6513t   |     37_15 - 37_16     |   L1_Cf(h) - L1_Cf(t)   |  9642   |  True  | L1_Cfhou, L1_Cftoi | dog 
227  |    dog     |  12782h - 21940t  |     -30_8 - -30_7     | L1_Canis1(t) - L1_Canis1(h) |  9659   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
228  |    dog     |  17278t - 4931h   |     4_114 - 4_117     |   L1_Cf(h) - L1_Cf(h)   |  9673   |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
229  |    dog     |   7018t - 15492h  |     34_27 - 34_28     | L1_Canis1(h) - L1_Canis1(t) |  9683   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
230  |    dog     |  10216t - 17555h  |      2_62 - 2_64      | L1_Canis1(h) - L1_Canis1(h) |  9722   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
231  |    dog     |   8825t - 43616t  |    -1_145 - -1_143    |   L1_Cf(t) - L1_Cf(h)   |  9789   |  True  | L1_Cftou, L1_Cfhoi | dog 
232  |    dog     |   6461t - 4127h   |      3_11 - 3_12      | L1_Canis1(h) - L1_Canis1(t) |  9824   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
233  |    dog     |  19111h - 20768t  |     -5_61 - -5_60     |   L1_Cf(h) - L1_Cf(t)   |  9855   |  True  | L1_Cfhou, L1_Cftoi | dog 
234  |    dog     |   4828t - 13390t  |    -14_88 - -14_83    | L1_Canis1(h) - L1_Cf(t)   |  10031  |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | dog 
235  |    dog     |   5874h - 17555t  |     -2_65 - -2_64     |   L1_Cf(h) - L1_Cf(t)   |  10174  |  True  | L1_Cfhou, L1_Cftoi | dog 
236  |    dog     |  10091t - 11061t  |     14_47 - 14_48     |   L1_Cf(h) - L1_Cf(t)   |  10195  |  True  | L1_Cfhou, L1_Cftoi | dog 
237  |    dog     |   5468h - 22741t  |     31_22 - 31_23     |   L1_Cf(h) - L1_Cf(t)   |  10201  | False  | L1_Cfhou, L1_Cftoi | dog 
238  |    dog     |  20228h - 14599h  |     -37_3 - -37_2     |   L1_Cf(h) - L1_Cf(t)   |  10496  |  True  | L1_Cfhou, L1_Cftoi | dog 
239  |    dog     |   9732t - 16775t  |      7_91 - 7_92      |   L1_Cf(h) - L1_Cf(t)   |  10521  |  True  | L1_Cfhou, L1_Cftoi | dog 
